,time,is_weekend,origin,destination,online,prediction,gx,lsl,zyb
17592380750499,2019-04-15 15:43:11,0,理工大学-B1口,成都顺美国际贸易有限公司,成都顺美国际贸易有限公司,成都双流国际机场, 成都新东方烹饪学校(双流西校区),成都新东方烹饪学校(双流西校区),
17592383077999,2019-04-09 11:10:37,0,理工大学-B1口,青白江高铁东站售票处,大邑县沙渠客运站,棠湖中学,,伯爵美容美发养生馆(旗舰店) ,棠湖中学
17592386007165,2019-04-16 08:08:27,0,发兴利民超市,汇融国际广场A座,春熙路-地铁站,汇融国际广场A座, 汇融国际广场A座,汇融国际广场A座,
17592471374883,2019-04-16 10:20:48,0,红旗(北欧知识城西),汉嘉国际社区(兴乐北路),富力桃园,紫瑞街60号小区, 汉嘉国际社区(兴乐北路),汉嘉国际社区(兴乐北路),
17592492229755,2019-04-15 11:47:40,0,汉庭酒店(玉林生活广场店),成都东站,宽窄巷子景区,汉庭酒店(玉林生活广场店), 倪家桥地铁站B口,,倪家桥地铁站B口
17592497195619,2019-04-09 15:12:39,0,博杰广告(古渭路),龙湖·天宸原著,凯旋公馆-东南门,润扬·双铁广场, 凯旋公馆-东南门,,凯旋公馆-东南门
17592505727554,2019-04-02 11:30:41,0,红光大道/科化北路(路口)西南侧,郫县人民医院,郫县人民医院,郫县人民医院, 郫县人民医院,郫县人民医院,
17592510546708,2019-04-15 13:45:50,0,南城塘坎街1号院,四川协合司法鉴定所,领地中心,领地中心, 领地中心,,领地中心
17592528309867,2019-03-19 18:38:42,0,洪柳花园二期-西南2门对面,沙河北岸,沙河北岸,沙河北岸, 沙河北岸,,沙河北岸
17592551801458,2019-04-01 15:27:04,0,明日海途酒店(城北优品道店)-上车点,中铁轨道交通高科技产业园A10栋,中铁轨道交通高科技产业园A10栋,植物园-地铁站,, 少昌轮胎特约经销店,中铁轨道交通高科技产业园A10栋
17592589022114,2019-04-16 22:57:28,0,金色外滩,馨美佳苑,馨美佳苑,馨美佳苑,馨美佳苑,馨美佳苑,
17592663457253,2019-04-12 17:10:29,0,明信花园-东北门,中国中铁二院(通锦路),电子科技大学沙河校区-南1门,鹭岛国际社区3期-1号门,,驷马桥 ,驷马桥-地铁站
17592669142283,2019-03-30 20:19:05,1,海滨广场5座-东北门东南侧,成都双流万达广场-1号门,四川工商职业技术学院,都江堰站停车场(入口), 四川工商职业技术学院,,四川工商职业技术学院
17593160012931,2019-04-16 14:01:33,0,麦的多(双流一店),成都市第五人民医院,成都市第五人民医院,中国邮政(彭镇邮政支局),, 中国邮政(彭镇邮政支局),中国邮政(彭镇邮政支局)
17593172464168,2019-04-15 08:11:50,0,明柚购物中心,云之尚网咖,云之尚网咖,云之尚网咖,云之尚网咖,云之尚网咖,
17593182227893,2019-04-14 18:29:47,1,御龙坡生态火锅-东南门,糖果风尚KTV(红光店),大味生态火锅(航空港店),潮音村便民菜市场, 潮音村便民菜市场,,新光社区文景苑
17593218305490,2019-04-16 08:23:44,0,澜溪郡-西南门,万科·魅力之城5期,万科·魅力之城5期,青羊区青年(大学生)创业园, 青羊区青年大学生创业园A5栋,,青羊区青年(大学生)创业园
17593247817611,2019-04-10 23:32:07,0,长安马自达(四川西星店),清淳家园五区,李鸭饭店,清淳家园五区, 清淳家园五区,,清淳家园五区
